time,open,high,low,close,volume,EMA20,EMA50,RSI14,MACD,MACD_signal,MACD_hist,ADX,ATR,BB_upper,BB_middle,BB_lower,target
1783101600000,62193.99,62250.0,62118.0,62204.01,298.61687,61838.59459083873,61266.14335803952,72.79156843710994,267.1666420105903,266.97352372903447,0.1931182815558259,32.33454237825075,317.60499999999905,62367.465044874,61793.79549999999,61220.12595512599,1
1783105200000,62204.0,62317.64,62146.0,62210.0,345.20311,61873.966534568375,61303.15734399875,68.04175548678143,265.12161952108727,266.6031428874451,-1.4815233663578056,34.23277165821836,302.864999999999,62417.57429200412,61826.29549999999,61235.01670799586,1
1783108800000,62210.0,62907.77,62186.01,62776.92,1103.81636,61959.96210270472,61360.95195795958,77.08677129930985,305.72245239089534,274.42700478813515,31.29544760276019,37.678554741388474,337.41928571428434,62578.512217995405,61899.70399999999,61220.895782004576,0
1783112400000,62776.91,62979.86,62518.72,62732.0,530.36622,62033.48952149475,61414.71854784351,74.86283430181011,330.4648433585098,285.6345725022101,44.830270856299705,41.75981383597895,355.6671428571416,62713.46523457407,61956.903999999995,61200.34276542592,0
1783116000000,62732.0,62748.01,62538.47,62578.0,461.77097,62085.347662304775,61460.337428320236,75.33878516584926,333.7990261011364,295.2674632219954,38.531562879141006,46.06653206291465,346.1399999999989,62777.8175608876,62013.803499999995,61249.78943911239,1
1783119600000,62578.0,62707.67,62529.03,62583.26,488.69291,62132.76788494242,61504.373607601796,73.59661572052407,333.02690117183374,302.8193508119631,30.207550359870652,50.53136561420371,339.3371428571419,62824.46693243711,62071.26649999999,61318.06606756287,1
1783123200000,62583.26,62946.0,62578.55,62756.29,451.82518,62192.15094351933,61553.468368088,73.23502559136816,342.42974458994286,310.74142956755907,31.68831502238379,53.16628942702664,338.8678571428562,62889.21240009138,62136.681,61384.14959990861,0
1783126800000,62756.29,62756.29,62404.25,62468.44,740.55394,62218.464186993675,61589.34960855514,61.18015234913525,322.93191826978,313.17952730800323,9.752390961776769,54.556378816975155,345.22071428571354,62912.10749308274,62175.07849999999,61438.04950691724,1
1783130400000,62468.44,62576.0,62432.0,62538.96,288.40853,62248.987597756175,61626.58923174906,63.75029112550362,309.6012347622891,312.4638687988604,-2.8626340365713077,54.69130823925793,333.87714285714225,62936.47027858752,62216.526,61496.581721412476,1
1783134000000,62538.96,62750.0,62484.01,62627.29,272.8732,62285.01639796988,61665.83239913145,62.94812443652055,302.67501566369174,310.5060981718267,-7.831082508134955,54.20248809775098,328.73357142857066,62967.48823329319,62260.36699999999,61553.245766706794,1
1783137600000,62627.28,62749.97,62590.06,62700.0,372.06056,62324.53864578227,61706.38799132237,63.34248689604021,299.5994307213332,308.324764681728,-8.725333960394835,56.532826144437266,298.7271428571424,62972.893994344246,62316.166999999994,61659.44000565574,0
1783141200000,62700.0,62700.01,62441.29,62471.52,289.90978,62338.53686999348,61736.39316813326,63.86348709139587,275.54922108590836,301.7696559625641,-26.22043487665576,57.697142285561696,275.778571428571,62949.83700629839,62353.808999999994,61757.7809937016,1
1783144800000,62471.53,62559.43,62328.24,62500.01,328.21302,62353.91526332743,61766.338926245684,60.82324587829335,255.83900873809762,292.5835265176708,-36.74451777957319,58.12736267558952,276.98214285714283,62945.033253976224,62382.9865,61820.939746023774,1
1783148400000,62500.01,62634.24,62470.0,62576.0,488.37245,62375.06619062958,61798.090340902716,60.53793103448276,243.5428707591709,282.77539536597084,-39.23252460679993,57.921670125649584,272.73285714285674,62952.25383839679,62410.5855,61868.91716160321,0
1783152000000,62576.0,62674.47,62516.46,62553.78,325.39629,62392.08655342676,61827.72522949477,59.58426270475849,229.3611914792782,272.0925545886323,-42.731363109354106,57.80642990796145,274.59071428571406,62945.031043213945,62439.075,61933.11895678605,0
1783155600000,62553.78,62583.99,62415.87,62494.0,256.44372,62401.792595957544,61853.853651867525,57.55922278413629,210.86761151378596,259.84756597366305,-48.97995445987709,57.52156559003896,274.3392857142852,62940.830400549276,62457.9745,61975.11859945072,1
1783159200000,62494.01,62545.02,62445.38,62513.0,261.05012,62412.38377729492,61879.70252826488,40.082520404635645,195.49095927285816,246.9762446335021,-51.48528536064393,53.69548702738812,229.90214285714268,62938.67782261693,62475.2505,62011.82317738307,0
1783162800000,62512.99,62563.84,62456.24,62482.01,236.75332,62419.01484612397,61903.322429117245,40.50658869099618,178.74377065933368,233.32974983866842,-54.58597917933474,49.44943453607311,204.64928571428547,62886.89487426681,62503.215000000004,62119.5351257332,1
1783166400000,62482.0,62696.78,62482.0,62664.01,160.12973,62442.347717921686,61933.1533142499,53.19823002268256,178.10430641045969,222.2846611530267,-44.180354742567005,45.36475007501888,205.02357142857105,62871.68295619662,62531.175,62190.66704380338,0
1783170000000,62664.01,62776.92,62542.0,62588.84,234.91268,62456.2993638339,61958.86651761265,50.197234475737844,169.5771557150656,211.7431600654345,-42.166004350368894,41.49645885630279,209.04357142857094,62852.69602840454,62550.917,62249.13797159546,1
1783173600000,62588.84,62738.28,62585.53,62693.99,214.12592,62478.93656727829,61987.69488947098,47.68690409005841,169.35187063217745,203.26490217878307,-33.91303154660562,36.52646396406259,193.70785714285688,62835.25670467877,62575.416000000005,62315.575295321236,1
1783177200000,62693.99,63075.46,62687.89,62943.29,746.82104,62523.160703727975,62025.16920753094,68.1499545152238,187.13260886487842,200.03844351600216,-12.90583465112374,35.56750064051473,196.24571428571394,62861.552944086536,62612.080500000004,62362.60805591347,0
1783180800000,62943.29,62968.29,62786.0,62927.29,446.2616,62561.64920813484,62060.54649351012,65.48846930065957,197.65446806298132,199.561648425398,-1.9071803624166819,34.73943178719522,198.980714285714,62897.439464632014,62619.599,62341.75853536799,1
1783184400000,62927.3,63439.62,62803.0,63280.38,752.34234,62630.099759741046,62108.38310160776,71.50628634654242,231.8123410180342,206.01178694392527,25.80055407410893,34.62005624898973,225.45428571428576,63051.11264809179,62647.018000000004,62242.92335190822,0
1783188000000,63280.38,63346.0,63092.02,63172.78,347.58599,62681.78359214666,62150.124156446676,65.21895883496633,247.34899542990752,214.27922864112173,33.069766788785785,32.83701388219077,232.17357142857145,63142.332667619776,62676.757000000005,62211.181332380234,1
1783191600000,63172.79,63461.99,63123.49,63294.72,328.68996,62740.15848813269,62195.01026795857,78.45056403450563,266.4302033545391,224.70942358380523,41.720779770733884,33.676181252683854,237.8721428571428,63250.83497717646,62712.33,62173.82502282354,0
1783195200000,63294.72,63392.0,63155.37,63233.78,287.12408,62787.17006069149,62235.74633588177,74.80343706267684,273.48231550797937,234.46400196864008,39.01831353933929,36.257199324610276,238.26071428571387,63323.08186287347,62736.20450000001,62149.327137126544,1
1783198800000,63233.79,63448.0,63202.0,63297.84,239.07967,62835.80529300658,62277.39706780798,74.59856601510299,281.0010664486181,243.7714148646357,37.22965158398239,39.02380692151407,244.10071428571402,63400.96970333945,62777.6745,62154.379296660554,0
